,cluster,date,title,first_block,content,company,link,cluster_count
0,-1,2024-06-18 00:07:08,"[특파원 리포트] 스마트폰 소멸, 한국은 준비됐나","그래픽=미드저니 Midjourney 스마트폰의 수명은 얼마나 남았을까. 지난 10일 미국 캘리포니아 쿠퍼티노 애플파크에서 열린 ‘세계 개발자 회의 ’ 현장에서 인공지능 기능을 쏟아내듯 발표하는 애플을 지켜보며 문득 이런 궁금증이 일었다. 이날 애플은 스마트폰의 사용 방식을 아예 뿌리부터 바꿀 수도 있는 AI 기능을 여럿 공개했다. 시중에선 ‘인텔리폰 ’의 시대가 열렸다는 찬사가 나왔고, 주가는 솟구쳤다. 그런데 어째서 이 빛나는 순간들이 죽음을 앞둔 초신성의 마지막 섬광처럼 느껴졌을까. 이날 애플이 공개한 ‘애플 인텔리전스’에서 진정으로 새로웠던 것은 단 한 가지. 음성AI ‘시리’로 스마트폰을 제어할 수 있는 방법이었다. 할 수 있는 게 ‘음악 틀어줘’ ‘날씨 알려줘’밖에 안 되던 덜 떨어진 과거의 AI는 잊자. 생성형AI를 탑재한 시리는 ‘저녁에 자동차의 궤적을 살린 사진을 카메라로 찍어줘’와 같은 복잡한 요구를 이해한다. 자동차의 궤적을 살리려면 ‘장노출’로 촬영을 해야 한다는 점을 제대로 아는 사람이 얼마나 될까. 아이폰 프로의 카메라는 웬만한 DSLR 뺨칠 정도로 좋지만, 이를 실제로 전문가처럼 쓸 줄 아는 사람은 드물다. 하지만 앞으론 간편하게 A","그래픽=미드저니·Midjourney 스마트폰의 수명은 얼마나 남았을까. 지난 10일 미국 캘리포니아 쿠퍼티노 애플파크에서 열린 ‘세계 개발자 회의(WWDC)’ 현장에서 인공지능(AI) 기능을 쏟아내듯 발표하는 애플을 지켜보며 문득 이런 궁금증이 일었다. 이날 애플은 스마트폰의 사용 방식을 아예 뿌리부터 바꿀 수도 있는 AI 기능을 여럿 공개했다. 시중에선 ‘인텔리폰(인텔리전스와 스마트폰의 합성어)’의 시대가 열렸다는 찬사가 나왔고, 주가는 솟구쳤다. 그런데 어째서 이 빛나는 순간들이 죽음을 앞둔 초신성의 마지막 섬광처럼 느껴졌을까. 이날 애플이 공개한 ‘애플 인텔리전스’에서 진정으로 새로웠던 것은 단 한 가지. 음성AI ‘시리’로 스마트폰을 제어할 수 있는 방법이었다. 할 수 있는 게 ‘음악 틀어줘’ ‘날씨 알려줘’밖에 안 되던 덜 떨어진 과거의 AI는 잊자. 생성형AI를 탑재한 시리는 ‘저녁에 자동차의 궤적을 살린 사진을 카메라로 찍어줘’와 같은 복잡한 요구를 이해한다. 자동차의 궤적을 살리려면 ‘장노출’로 촬영을 해야 한다는 점을 제대로 아는 사람이 얼마나 될까. 아이폰 프로의 카메라는 웬만한 DSLR 뺨칠 정도로 좋지만, 이를 실제로 전문가처럼 쓸 줄 아는 사람은 드물다. 하지만 앞으론 간편하게 AI에 말만 하면 너도나도 전문가 못지않은 결과물을 찍어낼 수 있다. 그뿐일까. “사진 앱에서 뉴욕에서 핑크색 옷을 입고 찍었던 사진 좀 찾아줄래” “지금 보고 있는 내용 이메일로 정리해서 팀원에게 공동 발송해줘” 같은 주문도 단번에 실현된다. 손가락으로 스마트폰 화면을 ‘톡톡톡’ 치며 분주하게 업무를 처리하던 날들은 점점 과거가 될 것이다. AI가 발전할수록 손보다 입으로 스마트폰을 사용하는 시간은 늘어날 것이다. 그렇다면 궁극적인 질문이 나온다. AI는 이미 사람처럼 보고, 듣고, 말하는 ‘오감’의 시대로 넘어갔는데, ‘터치 중심’의 사각형 스마트폰이 과연 AI의 성능을 전부 담아낼 그릇이 맞는가. 지난 1월 삼성전자가 AI 통번역 기능을 내세운 세계 첫 ‘AI스마트폰’ 갤럭시S24 시리즈를 공개하고 불과 반년 만에 AI 스마트폰의 성능은 이렇게까지 진화했다. 테크계에선 이미 다음을 생각하고 있다. 귀에 꽂는 AI, 안경으로 쓰는 AI, 셔츠 앞단에 붙이고 다니는 AI처럼 수많은 가능성이 시험대에 오르고 있다. 다수는 실패하겠지만 그중 무엇인가는 스마트폰의 시대를 열었던 ‘아이폰 모먼트’를 맞이하고야 말 것이다. 그 순간이 당도하면 스마트폰뿐 아니라 태블릿·PC 등 각종 양손 제어 중심이던 스마트기기가 피처폰 몰락하듯 순식간에 사라질 수도 있다. 1984년 휴대전화 첫 상용화 후 피처폰의 몰락까지 24년이 걸렸고, 스마트폰 전성시대는 올해로 17년째다. 다음 격변까지 남은 시간은 생각보다 길지 않을 것이다. IT 기기 제조 대국인 한국은 과연 이런 미래를 맞이할 준비가 되었는가.",조선일보,https://n.news.naver.com/mnews/article/023/0003840792,1643
1,0,2024-06-18 10:48:19,"삼성전자 노사, 오늘 중노위서 협상 이어간다","오후 2시 중노위 사후조정 첫 회의 “사후조정, 노사 합의 원한다는 뜻” 18일 세종시에 있는 중앙노동위원회 일정 안내판에 이날 오후 2시 삼성전자 노사의 사후조정 회의가 예정됐다고 게시됐다. 삼성전자 노사가 18일 중앙노동위원회에서 사후조정을 통해 임금 협상을 이어간다. 통상 사후조정을 신청한 노사는 협상에서 합의 의지가 높다고 해석된다. 18일 중노위에 따르면 중노위는 이날 오후 2시 삼성전자 사측과 전국삼성전자노동조합의 사후조정 회의를 연다. 사후조정은 중노위에서 조정이 종료된 노사가 중노위에 다시 조정을 신청하는 제도다. 사후조정 회의는 횟수 제한이 없다. 또 노사는 사후조정 결정을 따를 의무도 없다. 하지만 통상 노사가 사후조정을 신청했다는 의미는 합의를 원한다고 해석될 수 있다. 중노위의 조정 중지를 통해 합법적인 파업권을 얻은 노조가 다시 ‘협상테이블’로 돌아왔기 때문이다. 중노위 관계자는 “노사가 사후조정을 신청하는 건 흔하지 않은 경우”라며 “사후조정 신청은 노사 모두 합의를 원한다는 의미로 통용된다”고 말했다. 다만 삼성전자 노사가 이날 첫 회의에서 합의에 이를 가능성은 낮다는 관측이다. 통상 사후조정 첫 회의는 노사가 서로 원하는 안을 제","오후 2시 중노위 사후조정 첫 회의 “사후조정, 노사 합의 원한다는 뜻” 18일 세종시에 있는 중앙노동위원회 일정 안내판에 이날 오후 2시 삼성전자 노사의 사후조정 회의가 예정됐다고 게시됐다. 양종곤 기자 [서울경제] 삼성전자 노사가 18일 중앙노동위원회에서 사후조정을 통해 임금 협상을 이어간다. 통상 사후조정을 신청한 노사는 협상에서 합의 의지가 높다고 해석된다. 18일 중노위에 따르면 중노위는 이날 오후 2시 삼성전자 사측과 전국삼성전자노동조합의 사후조정 회의를 연다. 사후조정은 중노위에서 조정이 종료된 노사가 중노위에 다시 조정을 신청하는 제도다. 사후조정 회의는 횟수 제한이 없다. 또 노사는 사후조정 결정을 따를 의무도 없다. 하지만 통상 노사가 사후조정을 신청했다는 의미는 합의를 원한다고 해석될 수 있다. 중노위의 조정 중지를 통해 합법적인 파업권을 얻은 노조가 다시 ‘협상테이블’로 돌아왔기 때문이다. 중노위 관계자는 “노사가 사후조정을 신청하는 건 흔하지 않은 경우”라며 “사후조정 신청은 노사 모두 합의를 원한다는 의미로 통용된다”고 말했다. 다만 삼성전자 노사가 이날 첫 회의에서 합의에 이를 가능성은 낮다는 관측이다. 통상 사후조정 첫 회의는 노사가 서로 원하는 안을 제안하고 확인하 일종의 상견례 성격을 띠기 때문이다. 한편 삼성전자 노사는 올 1월부터 진행한 교섭에서 합의에 난항을 겪고 있다. 결국 삼성전자 노조는 지난달 29일 파업을 결정하고, 파업 일환으로 동시 연차를 사용했다.",서울경제,https://n.news.naver.com/mnews/article/011/0004354548,14
2,1,2024-06-18 08:13:10,"삼성전자, AI PC '갤럭시 북4 엣지' 국내 출시",삼성전자가 갤럭시 AI의 PC 경험을 제공하는 갤럭시 북4 엣지 를 18일 국내 출시한다고 밝혔다. 사진은 모델이 갤럭시 AI PC 갤럭시 북4 엣지 를 체험하는 모습. 2024.6.18,(서울=연합뉴스) 삼성전자가 갤럭시 AI의 PC 경험을 제공하는 '갤럭시 북4 엣지'를 18일 국내 출시한다고 밝혔다. 사진은 모델이 갤럭시 AI PC '갤럭시 북4 엣지'를 체험하는 모습. 2024.6.18 [삼성전자 제공. 재판매 및 DB 금지] photo@yna.co.kr,연합뉴스,https://n.news.naver.com/mnews/article/001/0014752491,37
3,2,2024-06-18 09:11:09,"코스피, 美 증시 훈풍에 상승 출발…2760선 회복","美 기술주 강세에 위험자산 선호 심리 개선 개인 226억 ‘사자’ 기관 121억 ‘팔자’ 전기 전자, 제조업, 철강및금속 등 상승 주도 SK하이닉스, 포스코인터내셔널 2%대↑ 코스피가 전날 하락 분을 만회하며 상승 출발했다. 18일 마켓포인트에 따르면 오전 9시5분 코스피 지수는 전거래일 대비 21.00포인트 상승한 2765.10을 기록하고 있다. 간밤 뉴욕증시는 상승 마감했다. 뉴욕증권거래소 에서 다우존스30산업평균지수는 전장보다 0.49% 상승한 3만8778.10을 기록했다. 스탠더드앤드푸어스 500지수는 전거래일 대비 0.77% 오른 5473.23으로 집계됐다. 기술주 중심의 나스닥 지수는 0.95% 뛴 1만7857.02에 장을 마쳤다. 미국 증시가 대형 기술주 위주로 강세를 시현한 영향에 위험자산 선호 심리가 되살아나면서 코스피도 상승 출발한 것으로 풀이된다. 김석환 미래에셋증권 연구원은 “IT 강세 속에 S&P500 지수와 나스닥 지수가 사상 최고치를 또 경신했다”며 “IT 강세에 대한 기대감 속 박스권 상단 돌파를 시도할 것으로 전망된다”고 분석했다. 수급별로는 개인이 226억원 순매수 중이다. 반면 기관은 121억원, 외국인은 100억원 순매도하","美 기술주 강세에 위험자산 선호 심리 개선 개인 226억 ‘사자’…기관 121억 ‘팔자’ 전기·전자, 제조업, 철강및금속 등 상승 주도 SK하이닉스, 포스코인터내셔널 2%대↑ [이데일리 김응태 기자] 코스피가 전날 하락 분을 만회하며 상승 출발했다. 18일 마켓포인트에 따르면 오전 9시5분 코스피 지수는 전거래일 대비 21.00포인트(0.77%) 상승한 2765.10을 기록하고 있다. 간밤 뉴욕증시는 상승 마감했다. 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 0.49% 상승한 3만8778.10을 기록했다. 스탠더드앤드푸어스(S&P)500지수는 전거래일 대비 0.77% 오른 5473.23으로 집계됐다. 기술주 중심의 나스닥 지수는 0.95% 뛴 1만7857.02에 장을 마쳤다. 미국 증시가 대형 기술주 위주로 강세를 시현한 영향에 위험자산 선호 심리가 되살아나면서 코스피도 상승 출발한 것으로 풀이된다. 김석환 미래에셋증권 연구원은 “IT 강세 속에 S&P500 지수와 나스닥 지수가 사상 최고치를 또 경신했다”며 “IT 강세에 대한 기대감 속 박스권 상단 돌파를 시도할 것으로 전망된다”고 분석했다. 수급별로는 개인이 226억원 순매수 중이다. 반면 기관은 121억원, 외국인은 100억원 순매도하고 있다. 프로그램은 차익과 비차익을 합쳐 331억원 매도 우위를 보이고 있다. 업종별로는 상승하는 업종이 대다수다. 전기·전자(1.35%)는 1%대 상승 중이다. 제조업(0.82%), 철강및금속(0.54%), 전기가스업(0.18%), 음식료품(0.33%), 기계(0.45%) 등은 1% 미만 소폭 상승 중이다. 반면 섬유·의복(0.31%), 건설업(0.2%), 보험(0.2%), 금융업(0.2%) 등은 1% 미만 하락 중이다. 시가총액 상위 종목도 상승하는 종목이 우위다. SK하이닉스(000660), 포스코인터내셔널(047050), HMM(011200), 한미반도체(042700), HD현대일렉트릭(267260) 등은 2%대 강세다. 포스코퓨처엠(003670), LG에너지솔루션(373220), 삼성전자(005930) 등은 1% 넘게 상승하고 있다. 이와 달리 SK(034730)는 2%대 약세다. 한화오션(042660), 아모레퍼시픽(090430) 등은 1% 넘게 하락 중이다.",이데일리,https://n.news.naver.com/mnews/article/018/0005766987,135
4,3,2024-06-18 20:18:13,"'OLED 위기감' 삼성디스플레이, 주64시간제 도입…삼성 비상경영 확산","삼성전자 반도체 부문 연구개발직과 모바일경험 사업부에서 주 64시간 특별연장근무를 도입한 가운데 삼성디스플레이도 주당 64시간 근무제를 도입하면서 삼성전자 그룹 전반으로 비상경영 기조가 확산하고 있습니다. 오늘 업계에 따르면 삼성디스플레이는 최근 고용노동부에 특별연장근로 신청서를 제출하고 노사 양측이 지난 13일 이 같은 내용을 공유했습니다. 사측은 특정 부서에 한해서 노동부 승인과 근로자별 동의 후 특별연장근로를 시행할 계획입니다. 특별연장근로 대상에 오른 팀은 IT사업팀과 A개발팀, 마이크로 프로젝트팀 등 주요 과제 수행팀으로 알려졌습니다. 앞서 삼성디스플레이는 주요 과제 수행 팀의 경우에는 특별연장근로를 진행한 바 있습니다. 근로기준법에 따르면 근로자들은 법정 근로시간 40시간과 연장근로 시간 12시간을 더해 주 52시간 근무를 초과할 수 없습니다. 국가경쟁력 강화를 위해 연구 개발 분야와 같은 특수 직종은 예외적으로 고용노동부 인가와 근로자 동의를 거쳐 최대 3개월 동안 주 64시간 근무제를 도입할 수 있습니다. 다만 삼성디스플레이가 특별연장근무를 도입하는 것을 두고 차세대 패널인 유기발광다이오드 분야에서의 위기감이 반영된 것으로 풀이됩니다. 삼성디스","삼성전자 반도체(DS) 부문 연구개발직과 모바일경험(MX) 사업부에서 주 64시간 특별연장근무를 도입한 가운데 삼성디스플레이도 주당 64시간 근무제를 도입하면서 삼성전자 그룹 전반으로 비상경영 기조가 확산하고 있습니다. 오늘(18일) 업계에 따르면 삼성디스플레이는 최근 고용노동부에 특별연장근로 신청서를 제출하고 노사 양측이 지난 13일 이 같은 내용을 공유했습니다. 사측은 특정 부서에 한해서 노동부 승인과 근로자별 동의 후 특별연장근로를 시행할 계획입니다. 특별연장근로 대상에 오른 팀은 IT사업팀과 A개발팀, 마이크로 프로젝트팀 등 주요 과제 수행팀으로 알려졌습니다. 앞서 삼성디스플레이는 주요 과제 수행 팀의 경우에는 특별연장근로를 진행한 바 있습니다. 근로기준법에 따르면 근로자들은 법정 근로시간 40시간과 연장근로 시간 12시간을 더해 주 52시간 근무를 초과할 수 없습니다. 국가경쟁력 강화를 위해 연구·개발 분야와 같은 특수 직종은 예외적으로 고용노동부 인가와 근로자 동의를 거쳐 최대 3개월 동안 주 64시간 근무제를 도입할 수 있습니다. 다만 삼성디스플레이가 특별연장근무를 도입하는 것을 두고 차세대 패널인 유기발광다이오드(OLED) 분야에서의 위기감이 반영된 것으로 풀이됩니다. 삼성디스플레이는 지난 2022년 액정표시장치(LCD) 사업에서 철수한 뒤 주력 사업 중 하나로 OLED를 앞세우고 있지만 현재 중국 디스플레이 업체들이 저가 전략을 토대로 OLED 시장 공략에 나서면서 점유율을 빼앗기고 있습니다. 영국 시장조사업체 옴디아에 따르면 지난해 스마트폰용 OLED 패널 시장에서 삼성디스플레이의 점유율은 43%로 지난해 대비 13%p 줄었습니다. 당신의 제보가 뉴스로 만들어집니다. SBS Biz는 여러분의 제보를 기다리고 있습니다. 홈페이지 = https://url.kr/9pghjn",SBS Biz,https://n.news.naver.com/mnews/article/374/0000388536,3
5,4,2024-06-18 13:33:49,"[속보] 검찰, '삼성전자 기밀 유출' 혐의 안승호 전 부사장 구속기소",정보 없음,정보 없음,뉴스1,https://n.news.naver.com/mnews/article/421/0007608052,37
6,5,2024-06-18 10:34:08,"마이리얼트립, 한화생명 드림플러스와 입주사 대상 여름휴가 이벤트 진행","마이리얼트립이 한화생명 드림플러스와 제휴해 드림플러스 약 100개 입주사 대상으로 여름휴가 이벤트 를 공동 진행한다. 마이리얼트립이 드림플러스와 공동으로 진행하는 여름휴가 이벤트는 18~19일 드림플러스 강남 1층 미디어월 Zone에서 양일간 열린다. 주요 내용으로는 테이블 사커 월드컵, 플러스 붐업 등 다양한 현장 이벤트를 진행하고, 기업출장 및 임직원 여행복지 등 맞춤형 법인서비스 상담을 위한 마이리얼트립 법인 상담부스를 운영한다. 이번 여름휴가 이벤트는 양사가 함께 기획 단계부터 다양한 여행 혜택 제공에 초점을 맞춰 준비했으며, 드림플러스에서도 부스 지원 등을 통해 적극적인 홍보에 나섰다. 한화생명이 운영하는 드림플러스 강남은 오픈 이노베이션 허브 역할을 하는 공유 오피스로, 마이리얼트립을 비롯해 100여 개의 스타트업 및 기업이 입주돼 있다. 마이리얼트립은 지난해 2월 하나투어 육경건 전 대표를 B2B 사업을 총괄하는 사내독립기업 의 대표로 임명해 B2B 사업 본격화를 알렸다. 이를 통해 기업들에게 출장, MICE 법인단체, 해외교육 연수, 임직원복지, VIP 의전, 친목 모임 단체여행 등의 법인 제휴 서비스를 제공하고 있으며, 삼성전자, 넥슨, 농심","마이리얼트립이 한화생명 드림플러스와 제휴해 드림플러스 약 100개 입주사 대상으로 여름휴가 이벤트(Enjoy Your Wave)를 공동 진행한다. 마이리얼트립이 드림플러스와 공동으로 진행하는 여름휴가 이벤트는 18~19일 드림플러스 강남 1층 미디어월 Zone에서 양일간 열린다. 주요 내용으로는 테이블 사커 월드컵, 플러스 붐업 등 다양한 현장 이벤트를 진행하고, 기업출장 및 임직원 여행복지 등 맞춤형 법인서비스 상담을 위한 마이리얼트립 법인 상담부스를 운영한다. 이번 여름휴가 이벤트는 양사가 함께 기획 단계부터 다양한 여행 혜택 제공에 초점을 맞춰 준비했으며, 드림플러스에서도 부스 지원 등을 통해 적극적인 홍보에 나섰다. 한화생명이 운영하는 드림플러스 강남은 오픈 이노베이션 허브 역할을 하는 공유 오피스로, 마이리얼트립을 비롯해 100여 개의 스타트업 및 기업이 입주돼 있다. 마이리얼트립은 지난해 2월 하나투어 육경건 전 대표를 B2B 사업을 총괄하는 사내독립기업(CIC)의 대표로 임명해 B2B 사업 본격화를 알렸다. 이를 통해 기업들에게 출장, MICE 법인단체, 해외교육 연수, 임직원복지, VIP 의전, 친목 · 모임 단체여행 등의 법인 제휴 서비스를 제공하고 있으며, 삼성전자, 넥슨, 농심, 요기요 등 약 100개 기업들이 서비스를 이용 중이다. 특히 365일 상담 신청이 가능한 ‘마이비즈니스’를 통해 기업들은 니즈에 맞는 맞춤형 서비스를 마이리얼트립과 기획 단계부터 함께 준비할 수 있으며, 약 3만개의 마이리얼트립의 상품을 기반으로 블레저(Business+Leisure) 서비스를 제공하고 있다. 이외에도 임직원 복지포인트 구매 및 전용상품 제공, 제휴사 특별 할인쿠폰 등 다양한 임직원 복지 프로그램도 운영하고 있다. 마이리얼트립 육경건 CIC 대표는 “보다 다양한 기업들이 마이비즈니스를 경험해 볼 수 있도록 이번 이벤트를 기획하게 됐다”며 “대기업부터 스타트업까지 규모에 상관없이 세심한 맞춤형 법인서비스로 임직원 모두가 만족하는 서비스로 자리매김할 것”이라고 말했다. <생활경제부>",스포츠경향,https://n.news.naver.com/mnews/article/144/0000969229,5
7,6,2024-06-18 19:54:31,"[간추린 단신] 미국 반도체 부품 기업, 청주에 공장 준공 외","미국의 반도체 장비 핵심 부품 생산 기업인 그린트위드가 청주 오창 외국인투자지역에 한국공장을 건립했습니다. 그린트위드는 한국공장에서 반도체 생산에 필수적으로 쓰이는 밀봉 부품, 고무 오링을 연간 최대 60만 개 생산해, 삼성전자와 SK하이닉스 등 반도체 회사에 납품할 계획입니다. 해외 바이어, 충북 김치제조업체 방문 러시아 등 옛 소련 연방 국가의 대형 바이어들이 오늘 청주의 한 농업회사법인을 방문했습니다. 연 매출이 80조 원대인 러시아의 한 대형 유통 기업 관계자와 카자흐스탄 바이어 등 9명은 김치 제조 과정을 돌아보고 수출 여부 등을 논의했습니다. 6 25 참전유공자 위로연, 청주서 열려 6 25 참전 유공자의 나라 사랑 정신을 기리는 위로연 행사가 오늘, 청주에서 열렸습니다. 청주시 재향군인회가 마련한 이번 행사에는 국가유공자와 유가족 등 3백여 명이 참여해 감사패 수여와 축사 등을 통해 참전 용사의 숭고한 희생을 기리고 평화의 의미를 되새겼습니다. 보은군, 대중교통체계 개편 추진 보은군이 대중교통체계 개편을 추진합니다. 보은군은 내년 1월까지 주민들의 대중교통수단 이용 현황과 대체 교통수단 확대 필요성 등을 검토해 버스 노선 개편안을 도출할 예정입니","[KBS 청주]미국의 반도체 장비 핵심 부품 생산 기업인 그린트위드가 청주 오창 외국인투자지역에 한국공장을 건립했습니다. 그린트위드는 한국공장에서 반도체 생산에 필수적으로 쓰이는 밀봉 부품, 고무 오링을 연간 최대 60만 개 생산해, 삼성전자와 SK하이닉스 등 반도체 회사에 납품할 계획입니다. 해외 바이어, 충북 김치제조업체 방문 러시아 등 옛 소련 연방 국가의 대형 바이어들이 오늘 청주의 한 농업회사법인을 방문했습니다. 연 매출이 80조 원대인 러시아의 한 대형 유통 기업 관계자와 카자흐스탄 바이어 등 9명은 김치 제조 과정을 돌아보고 수출 여부 등을 논의했습니다. 6·25 참전유공자 위로연, 청주서 열려 6·25 참전 유공자의 나라 사랑 정신을 기리는 위로연 행사가 오늘, 청주에서 열렸습니다. 청주시 재향군인회가 마련한 이번 행사에는 국가유공자와 유가족 등 3백여 명이 참여해 감사패 수여와 축사 등을 통해 참전 용사의 숭고한 희생을 기리고 평화의 의미를 되새겼습니다. 보은군, 대중교통체계 개편 추진 보은군이 대중교통체계 개편을 추진합니다. 보은군은 내년 1월까지 주민들의 대중교통수단 이용 현황과 대체 교통수단 확대 필요성 등을 검토해 버스 노선 개편안을 도출할 예정입니다. 또 최근, 보건복지부 협의를 거친 70세 이상 버스 무료 이용 사업도 세부 계획을 마련해 내년 하반기에 버스 개편안과 추진할 계획입니다.",KBS,https://n.news.naver.com/mnews/article/056/0011743755,2
8,7,2024-06-18 08:12:29,"삼성전자, '갤럭시 S24 울트라'로 2024 파리 올림픽 개막식 생중계","삼성전자가 국제올림픽위원회 , 올림픽방송서비스 와 협력해 다음 달 26일 진행되는 2024 파리 올림픽 개막식과 다음 달 28일부터 시작되는 요트 경기 생중계에 갤럭시 S24 울트라 를 지원한다고 18일 밝혔다. 사진은 17일 2024 파리 올림픽 개막식이 열릴 예정인 파리 센강의 보트에 갤럭시 S24 울트라 가 설치된 모습. 2024.6.18","(서울=연합뉴스) 삼성전자가 국제올림픽위원회(IOC), 올림픽방송서비스(OBS)와 협력해 다음 달 26일 진행되는 2024 파리 올림픽 개막식과 다음 달 28일부터 시작되는 요트 경기 생중계에 '갤럭시 S24 울트라'를 지원한다고 18일 밝혔다. 사진은 17일(현지시간) 2024 파리 올림픽 개막식이 열릴 예정인 파리 센강의 보트에 '갤럭시 S24 울트라'가 설치된 모습. 2024.6.18 [삼성전자 제공. 재판매 및 DB 금지] photo@yna.co.kr",연합뉴스,https://n.news.naver.com/mnews/article/001/0014752486,77
9,8,2024-06-18 17:00:17,"'낸드의 봄'에 日 키오시아, 감산 종료…'공급 과잉' 우려도","닛케이 가동률 100% 보도 첨단 제품으로 전환도 추진 삼성 SK는 신중하게 대응 기업용 SSD 중심 생산량 확대 일본 키오시아의 요카이치 공장 전경. 키오시아 제공 낸드플래시 세계 3위 일본 키오시아가 18개월 만에 감산을 종료하고 가동률을 100%로 올렸다. 낸드 시장이 불황에서 벗어나는 모습을 보이자 선제적으로 생산량을 늘려 수익을 극대화하려는 전략이다. 섣부른 생산량 확대란 지적도 나온다. 주요 수요처인 스마트폰과 PC 시장이 살아나지 않은 상황에서 자칫하면 공급 과잉 을 불러올 수 있다는 이유에서다. 삼성전자, SK하이닉스 등 시장 1 2위 업체들은 회복세가 뚜렷한 서버용 고부가가치 제품 중심으로 생산을 늘리며 신중하게 대응할 계획인 것으로 알려졌다. 18일 닛케이에 따르면 키오시아는 최근 미에현 요카이치 공장과 이와테현 기타카미 공장의 가동률을 100%로 끌어올렸다. 동시에 6세대 구형 제품 중심인 생산 라인을 8 9세대 첨단 제품으로 전환하는 투자도 진행 중이다. 투자 규모는 정부 보조금을 포함해 약 6조원에 달하는 것으로 전해졌다. 키옥시아는 2022년 9월 요카이치 키타가미 공장의 생산량을 약 30%로 줄인다고 발표한 뒤, 그해 10월부터 현","닛케이 ""가동률 100%"" 보도 첨단 제품으로 전환도 추진 삼성 SK는 '신중하게 대응' 기업용 SSD 중심 생산량 확대 일본 키오시아의 요카이치 공장 전경. 키오시아 제공 낸드플래시 세계 3위(2024년 1분기 매출 기준) 일본 키오시아가 18개월 만에 감산을 종료하고 가동률을 100%로 올렸다. 낸드 시장이 불황에서 벗어나는 모습을 보이자 선제적으로 생산량을 늘려 수익을 극대화하려는 전략이다. 섣부른 생산량 확대란 지적도 나온다. 주요 수요처인 스마트폰과 PC 시장이 살아나지 않은 상황에서 자칫하면 '공급 과잉'을 불러올 수 있다는 이유에서다. 삼성전자, SK하이닉스 등 시장 1·2위 업체들은 회복세가 뚜렷한 서버용 고부가가치 제품 중심으로 생산을 늘리며 신중하게 대응할 계획인 것으로 알려졌다. 18일 닛케이에 따르면 키오시아는 최근 미에현 요카이치 공장과 이와테현 기타카미 공장의 가동률을 100%로 끌어올렸다. 동시에 6세대 구형 제품 중심인 생산 라인을 8·9세대 첨단 제품으로 전환하는 투자도 진행 중이다. 투자 규모는 정부 보조금을 포함해 약 6조원에 달하는 것으로 전해졌다. 키옥시아는 2022년 9월 요카이치·키타가미 공장의 생산량을 약 30%로 줄인다고 발표한 뒤, 그해 10월부터 현재까지 18개월 연속해 감산을 이어왔다. 키오시아의 적극적인 움직임은 낸드플래시 업황이 살아나고 있다는 판단에서다. 시장조사업체 트렌드포스에 따르면 낸드플래시 고정거래가격은 제품별로 지난 1분기에 전 분기 대비 최대 28% 올랐다. 2022년 하반기부터 1년 6개월 넘게 이어진 불황에서 벗어나고 있어서다. 감산으로 재고가 줄고 인공지능(AI) 등 새로운 수요처가 생긴 영향이 크다. 키오시아는 지난해에만 4조원 가까운 영업적자를 기록할 정도로 재무 상황이 악화했다. 이번 업황 회복기에 이익을 늘리지 않으면 생존을 장담할 수 없다는 얘기가 나오고 있을 정도다. 반도체업계 관계자는 ""상장을 추진 중인 키오시아는 올해 무조건 수익성을 끌어올려야 하는 상황""이라며 ""생산량 확대에 적극적인 이유""라고 설명했다. 낸드 세계 1, 2위 삼성전자와 SK하이닉스는 상대적으로 신중한 모습이다. 최근 온디바이스 AI'를 적용한 스마트폰·PC가 본격 출시되고 있지만, 이런 제품에 들어가는 낸드플래시 주문량은 급증하지 않고 있는 것으로 알려졌다. 중국 수요를 YMTC 같은 현지 낸드플래시 업체들이 빨아들이고 있는 점도 스마트폰·PC용 라인 확대를 주저하게 하는 요인으로 분석된다. 국내 낸드플래시 업체 관계자는 ""수요 회복세가 뚜렷한 기업 서버·데이터센터용 SSD(낸드플래시로 만드는 데이터 저장장치) 라인을 중심으로 웨이퍼 투입량을 늘리고 있다""고 말했다.",한국경제,https://n.news.naver.com/mnews/article/015/0004998470,2
